Rompe Ralph,2018-12-06
Robin Hood,2018-12-06
Kursk,2018-12-06
El regreso de Ben,2018-12-06
Mortal Engines,2018-12-14
Miamor perdido,2018-12-14
Yuli,2018-12-14
Aquaman,2018-12-21
El regreso de Mary Poppins,2018-12-21
Bumblebee,2018-12-28
Tiempo después,2018-12-28
Como  la vida misma,2019-01-04
Mi vecino Totoro,2019-01-04
El gran baño,2019-01-11
Glass,2019-01-18
Creed II: La leyenda de Rocky,2019-01-25
Familia al instante,2019-01-25
Bajo el mismo techo,2019-02-01
Green Book,2019-02-01
X-Men: Fénix Oscura,2019-02-05
La LEGO Película 2,2019-02-08
Alita: Ángel de combate,2019-02-15
Cómo entrenar a tu dragón 3,2019-02-22
Capitana Marvel,2019-03-08
Escape Room,2019-03-15
Taxi a Gibraltar,2019-03-15
El niño que pudo ser rey,2019-03-15
Dolor y Gloria,2019-03-22
Nosotros,2019-03-22
Dumbo,2019-03-29
¡Shazam!,2019-04-05
Cementerio de animales,2019-04-05
El parque mágico,2019-04-12
Lo dejo cuando quiera,2019-04-12
La llorona,2019-04-18
Vengadores: Endgame,2019-04-26
Mr. Link,2019-05-10
Pokemón: Detective Pikachu,2019-05-17
Aladdín,2019-05-24
Toy Story 4,2019-06-21
Spider-Man: Lejos de casa,2019-07-05
El Rey León,2019-07-19